Path,Owner,Category,Rationale
~/.bash_history,NOT TRACKED,IGNORE,Shell history — runtime state
~/.bash_profile,Chezmoi (dot_bash_profile.tmpl),CHEZMOI,Bash login init — per-machine template
~/.bash-preexec.sh,NOT TRACKED,IGNORE,Library auto-downloaded by atuin
~/.bashrc,Chezmoi (dot_bashrc.tmpl),CHEZMOI,Bash interactive init — per-machine template
~/.BuildBloatBuster.yaml,Chezmoi (dot_BuildBloatBuster.yaml),CHEZMOI,Cleanup tool config — actively used
~/.CFUserTextEncoding,NOT TRACKED,IGNORE,macOS system file
~/.claude.json,NOT TRACKED,IGNORE,Claude Code runtime state (auto-managed)
~/.claude/settings.json,Chezmoi (dot_claude/settings.json.tmpl),CHEZMOI,AI tool config — secrets from Keychain
~/.claude/mcp.json,Chezmoi (dot_claude/mcp.json),CHEZMOI,MCP server definitions
~/.claude/CLAUDE.md,Chezmoi (dot_claude/CLAUDE.md),CHEZMOI,Claude memory/instructions
~/.claude/RTK.md,Chezmoi (dot_claude/RTK.md),CHEZMOI,RTK usage docs
~/.claude/hooks/,Chezmoi (dot_claude/hooks/),CHEZMOI,Pre/post tool hooks
~/.claude/sessions/,NOT TRACKED,IGNORE,Session history — runtime
~/.claude/logs/,NOT TRACKED,IGNORE,Logs — runtime
~/.codex/config.toml,Chezmoi (dot_codex/config.toml.tmpl),TODO,Machine-specific trust paths — not yet templated
~/.codex/AGENTS.md,Chezmoi (dot_codex/AGENTS.md),CHEZMOI,Codex agent instructions
~/.codex/rules/,Chezmoi (dot_codex/rules/),CHEZMOI,Codex custom rules
~/.config/alacritty/alacritty.toml,Chezmoi (dot_config/alacritty/alacritty.toml),CHEZMOI,Terminal config — actively tweaked
~/.config/argocd/config,Chezmoi (dot_config/argocd/config),CHEZMOI,ArgoCD CLI contexts — no secrets (auth via argocd login)
~/.config/atuin/config.toml,Home Manager (programs/atuin.nix),HOME-MGR,Stable config — use programs.atuin.settings
~/.config/bottom/bottom.toml,Chezmoi (dot_config/bottom/bottom.toml),CHEZMOI,System monitor config — user tweaks
~/.config/BuildBloatBuster/,Chezmoi (dot_config/BuildBloatBuster/),CHEZMOI,Cleanup tool scan config
~/.config/carapace/,NOT TRACKED,IGNORE,Completion bridge/overlays — auto-generated
~/.config/chatbang/,NOT TRACKED,IGNORE,App profile data
~/.config/configstore/,NOT TRACKED,IGNORE,npm update-notifier state
~/.config/containers/,NOT TRACKED,IGNORE,Podman connection state — machine-specific
~/.config/fish/config.fish,Chezmoi (dot_config/fish/config.fish),CHEZMOI,Fish shell config — user edits
~/.config/fish/conf.d/,Chezmoi (dot_config/fish/conf.d/),CHEZMOI,Fish shell modules
~/.config/flutter/,NOT TRACKED,IGNORE,Flutter tool state
~/.config/gcloud/,NOT TRACKED,IGNORE,Google Cloud credentials — regenerated by gcloud auth
~/.config/gh/config.yml,Home Manager (programs/gh.nix),HOME-MGR,Stable settings — protocol/editor
~/.config/gh/hosts.yml,NOT TRACKED,IGNORE,Tokens in keychain — auto-generated by gh auth
~/.config/git/local.gitconfig,Chezmoi (dot_config/git/local.gitconfig.tmpl),CHEZMOI,Per-machine git overrides — GPG signing paths
~/.config/gitconfigs/Personal_Account,Chezmoi (dot_config/gitconfigs/Personal_Account),CHEZMOI,Personal git identity + delta + GPG
~/.config/gitconfigs/Work,Chezmoi (dot_config/gitconfigs/Work.tmpl),CHEZMOI,Work git identity — email from Keychain
~/.config/github-copilot/,NOT TRACKED,IGNORE,Copilot extension auth state
~/.config/glab-cli/config.yml,Chezmoi (dot_config/glab-cli/config.yml.tmpl),CHEZMOI,GitLab CLI config — PAT from Keychain
~/.config/glab-cli/aliases.yml,Chezmoi (dot_config/glab-cli/aliases.yml),CHEZMOI,GitLab CLI aliases
~/.config/gollama/config.json,Chezmoi (dot_config/gollama/config.json),CHEZMOI,Gollama TUI config
~/.config/home-manager/,NOT TRACKED,MIGRATED,Old HM config — merged into this repo
~/.config/joplin-desktop/,NOT TRACKED,IGNORE,Joplin DB — syncs via cloud
~/.config/libvirt/,NOT TRACKED,IGNORE,VM state — machine-specific
~/.config/neofetch/config.conf,Chezmoi (dot_config/neofetch/config.conf),CHEZMOI,System info display config
~/.config/nix-darwin/,NOT TRACKED,MIGRATED,Old nix-darwin config — merged into this repo
~/.config/nushell/config.nu,Chezmoi (dot_config/nushell/config.nu),CHEZMOI,Nushell config (38KB) — actively edited
~/.config/nushell/env.nu,Chezmoi (dot_config/nushell/env.nu),CHEZMOI,Nushell env — secrets from Keychain
~/.config/nushell/scripts/,Chezmoi (dot_config/nushell/scripts/),CHEZMOI,Custom nushell scripts
~/.config/nvim/,Chezmoi (dot_config/nvim/),CHEZMOI,Full LazyVim config — lazy-lock.json mutates
~/.config/opencode/AGENTS.md,Chezmoi (dot_config/opencode/AGENTS.md),CHEZMOI,OpenCode agent instructions
~/.config/opencode/*.db*,NOT TRACKED,IGNORE,SQLite databases — runtime state
~/.config/starship/starship.toml,Home Manager (programs/starship.nix),HOME-MGR,Prompt config — stable large TOML as Nix attrset
~/.config/wezterm/wezterm.lua,Chezmoi (dot_config/wezterm/wezterm.lua),CHEZMOI,Terminal config — actively tweaked
~/.config/yazi/yazi.toml,Chezmoi (dot_config/yazi/yazi.toml),CHEZMOI,File manager config
~/.config/zed/settings.json,Chezmoi (dot_config/zed/settings.json),CHEZMOI,Zed editor — AI agents config
~/.config/zellij/config.kdl,Chezmoi (dot_config/zellij/config.kdl),CHEZMOI,Terminal mux — heavy keybind customization
~/.config/zellij/layouts/,Chezmoi (dot_config/zellij/layouts/),CHEZMOI,Custom layouts
~/.config/zsh/local.zsh,Chezmoi (dot_config/zsh/local.zsh),CHEZMOI,Aliases functions corp env — sourced by Chezmoi zshrc
~/.continue/,Chezmoi (dot_continue/),CHEZMOI,Continue AI IDE config
~/.curlrc,NOT TRACKED,REPLACED,Corp CA path — now in .zshenv template
~/.cursor/mcp.json,Chezmoi (dot_cursor/mcp.json),CHEZMOI,Cursor MCP server definitions
~/.docker/config.json,Chezmoi (dot_docker/config.json.tmpl),CHEZMOI,Registry config — credsStore=osxkeychain no secrets
~/.git-credentials,DELETED,ELIMINATED,Switched to credential.helper=osxkeychain — file removed
~/.gitignore,Chezmoi (dot_gitignore),CHEZMOI,Home-dir gitignore (beads rules)
~/.gitignore_global,Home Manager (programs/git.nix ignores),HOME-MGR,Global gitignore — stable list
~/.gnupg/gpg-agent.conf,Chezmoi (dot_gnupg/gpg-agent.conf.tmpl),CHEZMOI,GPG agent — pinentry differs per OS
~/.gnupg/common.conf,Chezmoi (dot_gnupg/common.conf),CHEZMOI,GPG common settings
~/.gnupg/private keys,NOT TRACKED,SECRET,Never in git — separate secure backup
~/.kiro/settings/cli.json,Chezmoi (dot_kiro/settings/cli.json),CHEZMOI,Kiro CLI config
~/.kube/config,NOT TRACKED,SECRET,Embedded certs — stays local only
